SNO,HOTEL,LOCALITY,REGION,AVAILABILITY,DISCOUNT,"DISCOUNTED RATE","BEFORE DISCOUNT"
0,"OYO Premium ","Pocket-2, Jasola",Delhi,1,25,1987,2649
1,"OYO Flagship ","E Block,GK2",Delhi,1,25,2362,3149
2,"OYO Flagship ","Arakashan Road, Paharganj",Delhi,1,25,1349,1799
3,"OYO Flagship ","A Block,Mahipalpur Extension",Delhi,1,25,1499,1999
4,"OYO Premium ","CV Raman Marg",Delhi,1,25,2924,3899
5,"OYO Rooms ","E Block, East Of Kailash",Delhi,1,25,1349,1799
6,"OYO Premium ","Sunder Nagar",Delhi,1,25,4574,6099
7,"OYO Rooms ",Kalkaji,Delhi,1,25,1349,1799
8,"OYO Rooms ","Road 1, Mahipalpur",Delhi,1,25,1248,1664
9,"OYO Premium ","East Patel Nagar",Delhi,1,25,3637,4849
10,"OYO Rooms ","Karol Bagh, New Delhi",Delhi,1,25,1274,1699
11,"OYO Rooms ","Road No 1, Mahipalpur",Delhi,1,25,1248,1664
12,"OYO Homes ","Second Floor (With Elevator), New Friends Colony ",Delhi,1,25,2774,3699
13,"OYO Premium ","CV Raman Marg",Delhi,1,25,2362,3149
14,"OYO Premium ",Saket,Delhi,1,25,3224,4299
15,"OYO Rooms ","National Highway No. 8, Mahipalpur",Delhi,1,25,2849,3799
16,"OYO Rooms ","Connaught Circus",Delhi,1,25,3487,4649
17,"OYO Rooms ","East Patel Nagar",Delhi,1,25,1874,2499
18,"OYO Rooms ","National Highway 8, Near IGI Domestic Airport, Mahipalpur",Delhi,1,25,2812,3749
19,"OYO Rooms ","Mahipalpur Extn, Near Airport, National Highway -8",Delhi,1,25,2437,3249
20,"OYO Premium ","Anand Lok",Delhi,1,25,3562,4749
21,"OYO Rooms ","Vasant vihar",Delhi,1,25,2662,3549
22,"OYO Rooms ","Adarsh Nagar",Delhi,1,25,1874,2499
23,"OYO Rooms ","N.H. 8, Near IGI Airport Road No. 1, Mahipalpur Extension , Mahipalpur",Delhi,1,25,2587,3449
24,"OYO Premium ","Greater Kailash 1",Delhi,1,25,3599,4799
25,"OYO Homes ",Kingsaway,Delhi,1,25,1874,2499
26,"OYO Rooms ","Jasola Vihar",Delhi,1,25,2624,3499
27,"OYO Premium ","Lajpat Nagar 4",Delhi,1,25,3224,4299
28,"OYO Rooms ","Outer Ring Road",Delhi,1,25,2174,2899
29,"OYO Rooms ","Opposite Karnataka Bank, Kalkaji",Delhi,1,25,1612,2149
30,"OYO Apartment",Dwarka,Delhi,1,25,1649,2199
31,"OYO Rooms ","Desh Bandhu Gupta Road",Delhi,1,25,1387,1849
32,"OYO Rooms ","East Patel Nagar",Delhi,1,25,1912,2549
33,"OYO Rooms ","Bhera Enclave",Delhi,1,25,1837,2449
34,"OYO Rooms ","Kirti Nagar",Delhi,1,25,1537,2049
35,"OYO Rooms ","Near Bank of Baroda",Delhi,1,25,1537,2049
36,"OYO Rooms ","Jamia Nagar, Okhla",Delhi,1,25,1874,2499
37,"OYO Rooms ","60 Feet Road, Pul Pehlad Pur",Delhi,1,25,1274,1699
38,"OYO Premium ","Defence Colony",Delhi,1,25,2324,3099
39,"OYO Rooms ","Arakashan Road",Delhi,1,25,1499,1999
40,"OYO Rooms ","National Highway, NH8",Delhi,1,25,1687,2249
41,"OYO Rooms ","Kapashera Extension, Bijwasan Road",Delhi,1,25,1874,2499
42,"OYO Rooms ","Old Rajendra Nagar",Delhi,1,25,1987,2649
43,"OYO Rooms ","Panchsheel Park South",Delhi,1,25,1424,1899
44,"OYO Rooms ","Dariba Pan",Delhi,1,25,899,1199
45,"OYO Rooms ","Greater Kailash Part 1",Delhi,1,25,2662,3549
46,"OYO Rooms ","Kailash Colony",Delhi,1,25,2062,2749
47,"OYO Rooms ","Opp Sapna Cinema",Delhi,1,25,1912,2549
48,"OYO Rooms ","Near Prem Motor Showroom, Adjoining Vasantkunj Road",Delhi,1,25,1199,1599
49,"OYO Rooms ","Near New Delhi Railway Station",Delhi,1,25,937,1249
50,"OYO Rooms ","Channa Market, Karol Bagh",Delhi,1,25,1799,2399
51,"OYO Premium ","Kalindi Kunj Road",Delhi,1,25,2437,3249
52,"OYO Rooms ",Jangpura,Delhi,1,25,2699,3599
53,"OYO Rooms ","Chittaranjan Park",Delhi,1,25,2062,2749
54,"OYO Rooms ",NH8,Delhi,1,25,1949,2599
55,"OYO Rooms ","Near Nehru Place",Delhi,1,25,2699,3599
56,"OYO Rooms ","Dwarka Sector 23",Delhi,1,25,1537,2049
57,"OYO Rooms ","Near R.K. Ashram Metro Station",Delhi,1,25,1462,1949
58,"OYO Rooms ","Rajguru Road, Chuna Mandi",Delhi,1,25,862,1149
59,"OYO Rooms ","Behind Prem Maruti Showroom, Mahipalpur",Delhi,1,25,1312,1749
60,"OYO Rooms ","Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Delhi,1,25,1387,1849
61,"OYO Premium ","Pocket-2, Jasola",Delhi,1,25,2024,2699
62,"OYO Premium ","Rajouri Garden",Delhi,1,25,2399,3199
63,"OYO Rooms ","Street No.7, Near IGI Airport, Mahipalpur",Delhi,1,25,2024,2699
64,"OYO Premium ","East of Kailash",Delhi,1,25,2849,3799
65,"OYO Rooms ","Nehru Enclave",Delhi,1,25,2474,3299
66,"OYO Rooms ","Darya Ganj",Delhi,1,25,1874,2499
67,"OYO Premium ",Paharganj,Delhi,1,25,1762,2349
68,"OYO Rooms ","East Patel Nagar",Delhi,1,25,1724,2299
69,"OYO Rooms ","Main Mahiveer Enclave in front of Sulabh International Dabri Palam Road",Delhi,1,25,1387,1849
70,"OYO Rooms ","D.B. Gupta Road, Paharganj",Delhi,1,25,1349,1799
71,"OYO Rooms ",Paharganj,Delhi,1,25,1012,1349
72,"OYO Rooms ",Paharganj,Delhi,1,25,1087,1449
73,"OYO Rooms ","Pahar Ganj",Delhi,1,25,1124,1499
74,"OYO Premium ","Greater Kailash 1",Delhi,1,25,3487,4649
75,"OYO Rooms ","Karol Bagh",Delhi,1,25,1237,1649
76,"OYO Rooms ",Jasola,Delhi,1,25,1237,1649
77,"OYO Premium ","Malviya Nagar",Delhi,1,25,2999,3999
78,"OYO Homes ","Jangpura Extension",Delhi,1,25,1274,1699
79,"OYO Apartment","Palam Extension, Sector 7, Near Gold's Gym",Delhi,1,25,1424,1899
80,"OYO Rooms ","Jamia Nagar",Delhi,1,25,1049,1399
81,"OYO Premium ","Ring Road",Delhi,1,25,3149,4199
82,"OYO Homes ","Road no 44",Delhi,1,25,1612,2149
83,"OYO Premium ","Safdarjung Enclave",Delhi,1,25,2737,3649
84,"OYO Rooms ","Near Imperial Cinema",Delhi,1,25,937,1249
85,"OYO Rooms ",Paharganj,Delhi,1,25,1087,1449
86,"OYO Homes ","South Extension - 1",Delhi,1,25,1687,2249
87,"OYO Rooms ",Saket,Delhi,1,25,2587,3449
88,"OYO Rooms ","Pankha Road,Dabri Mor",Delhi,1,25,2174,2899
89,"OYO Rooms ",Karolbagh,Delhi,1,25,1199,1599
90,"OYO Rooms ","Near Nirman Vihar Metro Station",Delhi,1,25,1837,2449
91,"OYO Rooms ",Paharganj,Delhi,1,25,937,1249
92,"OYO Rooms ","Karol Bagh",Delhi,1,25,1574,2099
93,"OYO Premium ","Street No.1, Multani Dhanda, Paharganj",Delhi,1,25,1462,1949
94,"OYO Rooms ",Jasola,Delhi,1,25,1124,1499
95,"OYO Rooms ",Kapashera,Delhi,1,25,1724,2299
96,"OYO Rooms ","Main Bazar, 6 Tooti Chowk",Delhi,1,25,974,1299
97,"OYO Rooms ","Ram Nagar, Street No.1",Delhi,1,25,1199,1599
98,"OYO Rooms ","Karol Bagh",Delhi,1,25,1274,1699
99,"OYO Rooms ","Ram Nagar",Delhi,1,25,1087,1449
100,"OYO Rooms ","Ram Nagar",Delhi,1,25,1087,1449
101,"OYO Rooms ","Arya Samaj Road, Opposite Satbhrawan School",Delhi,1,25,1012,1349
