SNO,HOTEL,LOCALITY,REGION,AVAILABILITY,DISCOUNT,"DISCOUNTED RATE","BEFORE DISCOUNT"
0,"OYO Premium 5","Pocket-2, Jasola",Delhi,1,25,1987,2649
1,"OYO Flagship ","E Block,GK2",Delhi,1,25,2362,3149
2,"OYO Flagship ","Arakashan Road, Paharganj",Delhi,1,25,1349,1799
3,"OYO Flagship ","A Block,Mahipalpur Extension",Delhi,1,25,1499,1999
4,"OYO Premium 0","CV Raman Marg",Delhi,1,25,2924,3899
5,"OYO Rooms 658","E Block, East Of Kailash",Delhi,1,25,1349,1799
6,"OYO Premium 2","Sunder Nagar",Delhi,1,25,4574,6099
7,"OYO Rooms 632",Kalkaji,Delhi,1,25,1349,1799
8,"OYO Rooms 696","Road 1, Mahipalpur",Delhi,1,25,1248,1664
9,"OYO Premium 2","East Patel Nagar",Delhi,1,25,3637,4849
10,"OYO Rooms 010","Karol Bagh, New Delhi",Delhi,1,25,1274,1699
11,"OYO Rooms 689","Road No 1, Mahipalpur",Delhi,1,25,1248,1664
12,"OYO Homes 459","Second Floor (With Elevator), New Friends Colony ",Delhi,1,25,2774,3699
13,"OYO Premium 0","CV Raman Marg",Delhi,1,25,2362,3149
14,"OYO Premium 1",Saket,Delhi,1,25,3224,4299
15,"OYO Rooms 030","National Highway No. 8, Mahipalpur",Delhi,1,25,2849,3799
16,"OYO Rooms 142","Connaught Circus",Delhi,1,25,3487,4649
17,"OYO Rooms 257","East Patel Nagar",Delhi,1,25,1874,2499
18,"OYO Rooms 171","National Highway 8, Near IGI Domestic Airport, Mahipalpur",Delhi,1,25,2812,3749
19,"OYO Rooms 080","Mahipalpur Extn, Near Airport, National Highway -8",Delhi,1,25,2437,3249
20,"OYO Premium 1","Anand Lok",Delhi,1,25,3562,4749
21,"OYO Rooms 118","Vasant vihar",Delhi,1,25,2662,3549
22,"OYO Rooms 457","Adarsh Nagar",Delhi,1,25,1874,2499
23,"OYO Rooms 183","N.H. 8, Near IGI Airport Road No. 1, Mahipalpur Extension , Mahipalpur",Delhi,1,25,2587,3449
24,"OYO Premium 2","Greater Kailash 1",Delhi,1,25,3599,4799
25,"OYO Homes 380",Kingsaway,Delhi,1,25,1874,2499
26,"OYO Rooms 680","Jasola Vihar",Delhi,1,25,2624,3499
27,"OYO Premium 2","Lajpat Nagar 4",Delhi,1,25,3224,4299
28,"OYO Rooms 144","Outer Ring Road",Delhi,1,25,2174,2899
29,"OYO Rooms 098","Opposite Karnataka Bank, Kalkaji",Delhi,1,25,1612,2149
30,"OYO Apartment",Dwarka,Delhi,1,25,1649,2199
31,"OYO Rooms 616","Desh Bandhu Gupta Road",Delhi,1,25,1387,1849
32,"OYO Rooms 195","East Patel Nagar",Delhi,1,25,1912,2549
33,"OYO Rooms 128","Bhera Enclave",Delhi,1,25,1837,2449
34,"OYO Rooms 613","Kirti Nagar",Delhi,1,25,1537,2049
35,"OYO Rooms 006","Near Bank of Baroda",Delhi,1,25,1537,2049
36,"OYO Rooms 690","Jamia Nagar, Okhla",Delhi,1,25,1874,2499
37,"OYO Rooms 509","60 Feet Road, Pul Pehlad Pur",Delhi,1,25,1274,1699
38,"OYO Premium 1","Defence Colony",Delhi,1,25,2324,3099
39,"OYO Rooms 329","Arakashan Road",Delhi,1,25,1499,1999
40,"OYO Rooms 491","National Highway, NH8",Delhi,1,25,1687,2249
41,"OYO Rooms 194","Kapashera Extension, Bijwasan Road",Delhi,1,25,1874,2499
42,"OYO Rooms 215","Old Rajendra Nagar",Delhi,1,25,1987,2649
43,"OYO Rooms 212","Panchsheel Park South",Delhi,1,25,1424,1899
44,"OYO Rooms 588","Dariba Pan",Delhi,1,25,899,1199
45,"OYO Rooms 185","Greater Kailash Part 1",Delhi,1,25,2662,3549
46,"OYO Rooms 653","Kailash Colony",Delhi,1,25,2062,2749
47,"OYO Rooms 133","Opp Sapna Cinema",Delhi,1,25,1912,2549
48,"OYO Rooms 486","Near Prem Motor Showroom, Adjoining Vasantkunj Road",Delhi,1,25,1199,1599
49,"OYO Rooms 602","Near New Delhi Railway Station",Delhi,1,25,937,1249
50,"OYO Rooms 528","Channa Market, Karol Bagh",Delhi,1,25,1799,2399
51,"OYO Premium 0","Kalindi Kunj Road",Delhi,1,25,2437,3249
52,"OYO Rooms 270",Jangpura,Delhi,1,25,2699,3599
53,"OYO Rooms 089","Chittaranjan Park",Delhi,1,25,2062,2749
54,"OYO Rooms 484",NH8,Delhi,1,25,1949,2599
55,"OYO Rooms 126","Near Nehru Place",Delhi,1,25,2699,3599
56,"OYO Rooms 272","Dwarka Sector 23",Delhi,1,25,1537,2049
57,"OYO Rooms 567","Near R.K. Ashram Metro Station",Delhi,1,25,1462,1949
58,"OYO Rooms 599","Rajguru Road, Chuna Mandi",Delhi,1,25,862,1149
59,"OYO Rooms 300","Behind Prem Maruti Showroom, Mahipalpur",Delhi,1,25,1312,1749
60,"OYO Rooms 641","Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Delhi,1,25,1387,1849
61,"OYO Premium 5","Pocket-2, Jasola",Delhi,1,25,2024,2699
62,"OYO Premium 1","Rajouri Garden",Delhi,1,25,2399,3199
63,"OYO Rooms 565","Street No.7, Near IGI Airport, Mahipalpur",Delhi,1,25,2024,2699
64,"OYO Premium 2","East of Kailash",Delhi,1,25,2849,3799
65,"OYO Rooms 666","Nehru Enclave",Delhi,1,25,2474,3299
